Date,HYG_Close,HYG_High,HYG_Low,HYG_Open,HYG_Volume
2007-04-11,31.85506248474121,31.867273617297062,31.85506248474121,31.85506248474121,1900
2007-04-12,31.876436233520508,31.876436233520508,31.855067330555965,31.876436233520508,6100
2007-04-13,31.818439483642578,31.897808371826425,31.818439483642575,31.867281697214484,3400
2007-04-16,31.806243896484375,31.830663850690044,31.794032754862982,31.830663850690044,7600
2007-04-17,31.790964126586914,31.870335344506863,31.790964126586918,31.794017492785837,28100
2007-04-18,31.800121307373047,31.830647981689058,31.794016904124227,31.806228039657825,6300
2007-04-19,31.910009384155273,31.922220515933315,31.76653149705736,31.809269293762878,47500
2007-04-20,31.891698837280273,31.913067738974068,31.885592105918846,31.913067738974068,4900
2007-04-23,31.910009384155273,31.949696144692716,31.885587120599194,31.928324917304714,1700
2007-04-24,32.12981033325195,32.14812586938569,31.876434547902416,31.928330119638407,398500
2007-04-25,32.17865753173828,32.17865753173828,32.13897076144951,32.13897076144951,16300
2007-04-26,32.236663818359375,32.236663818359375,32.142030416604655,32.184768232173646,48200
2007-04-27,32.236663818359375,32.236663818359375,32.20919050650914,32.20919050650914,8300
2007-04-30,32.239688873291016,32.245793271996114,32.1542133172143,32.224424382976935,15500
2007-05-01,32.24368667602539,32.274298272072,32.225317849985366,32.225317849985366,8600
2007-05-02,32.23145294189453,32.262064548741044,32.20390086087154,32.24981943889926,4700
2007-05-03,32.234493255615234,32.28959504531172,32.20387933371715,32.25592159963529,17200
2007-05-04,32.274314880371094,32.2773767422059,32.206967933102895,32.24982465672515,4600
2007-05-07,32.2712287902832,32.2712287902832,32.23449581790856,32.240617201466165,4200
2007-05-08,32.29573059082031,32.31103755848182,32.2804236231588,32.307975697846445,16100
2007-05-09,32.21004867553711,32.326373802767336,32.19168216479487,32.32331193913775,9400
2007-05-10,32.326351165771484,32.3906362438704,32.29880141895024,32.3569627740782,17400
2007-05-11,32.34469985961914,32.38143283250888,32.31408593485829,32.33857614046115,12200
2007-05-14,32.341636657714844,32.35694128394551,32.31102506973907,32.35388176000805,11600
2007-05-15,32.31715393066406,32.42735754128731,32.31715393066406,32.356948770688845,39400
2007-05-16,32.40286636352539,32.40592822359434,32.393683118833486,32.39674497890243,78100
2007-05-17,32.39369583129883,32.42736929872712,32.35390097684532,32.41512418916085,14500
2007-05-18,32.40286636352539,32.43347795767005,32.40286636352539,32.43347795767005,5200
2007-05-21,32.4334831237793,32.43654498433594,32.40287152475872,32.430423598737946,14600
2007-05-22,32.43655776977539,32.47635263063645,32.36615129782766,32.473293104389136,10200
2007-05-23,32.412044525146484,32.48245328260066,32.35694273012156,32.42428962798697,22500
2007-05-24,32.421226501464844,32.46102132963876,32.40285768148786,32.46102132963876,17100
2007-05-25,32.467166900634766,32.59267753267322,32.387577184992665,32.4396171534162,7400
2007-05-29,32.33857727050781,32.363067476966464,32.320210783421146,32.356943757594486,4900
2007-05-30,32.412044525146484,32.4304133471645,32.37224969255082,32.40898500107228,4300
2007-05-31,32.36000442504883,32.41510621979337,32.34163793863883,32.41510621979337,6200
2007-06-01,32.3557014465332,32.361856954184546,32.30644799118642,32.3557014465332,13500
2007-06-04,32.38340759277344,32.38956544949864,32.327998624917676,32.38340759277344,21800
2007-06-05,32.33723449707031,32.386485606810425,32.33723449707031,32.386485606810425,4500
2007-06-06,32.2972297668457,32.34032538763873,32.284916396828386,32.321856506880344,74600
2007-06-07,32.146392822265625,32.24181849748708,32.0755915368034,32.24181849748708,12100
2007-06-08,32.0601921081543,32.09712985613998,31.98939084362451,32.078660982147134,17800
2007-06-11,31.992477416992188,32.03557303229642,31.890893888688694,31.983242977789125,2900
2007-06-12,31.829326629638672,31.946300096939627,31.727743110160777,31.943221167961138,67300
2007-06-13,31.884740829467773,31.95553976782297,31.666183806901834,31.900130779810826,24600
2007-06-14,31.909324645996094,31.909324645996097,31.75541125838901,31.810817823336922,18200
2007-06-15,31.903188705444336,31.915502066733172,31.860093115200176,31.860093115200176,13500
2007-06-18,31.92166519165039,31.986310940978743,31.829318482744622,31.986310940978743,14600
2007-06-19,31.961698532104492,31.964775113139204,31.817019373278345,31.964775113139204,19600
2007-06-20,31.678491592407227,31.964768573384383,31.678491592407227,31.964768573384383,16900
2007-06-21,31.736963272094727,31.838546745876595,31.706181041760907,31.706181041760907,13900
2007-06-22,31.798553466796875,31.817022348872943,31.656950875762465,31.773926725005204,27800
2007-06-25,31.61385154724121,31.81086076141741,31.598461596826407,31.798549740499595,29000
2007-06-26,31.706193923950195,31.764681829321557,31.613844846893784,31.687725047952746,43600
2007-06-27,31.595359802246094,31.644613244413716,31.546108708611857,31.64153431714489,6800
2007-06-28,31.429157257080078,31.59538423011356,31.376827195718207,31.56768090887558,9500
