timestamp,open,high,low,close,volume
1776988800000,4695.025,4699.875,4690.495,4697.865,0.4791
1776989700000,4697.995,4705.485,4696.285,4705.275,0.3793
1776990600000,4705.255,4707.775,4701.035,4701.385,0.3519
1776991500000,4701.425,4705.665,4697.115,4704.365,0.4205
1776992400000,4704.345,4709.765,4695.535,4709.155,0.6477
1776993300000,4709.125,4710.935,4698.055,4698.125,0.4987
1776994200000,4698.185,4702.015,4690.085,4690.565,0.6063
1776995100000,4690.595,4700.315,4690.025,4699.225,0.4925
1776996000000,4699.195,4700.335,4689.895,4692.945,0.4949
1776996900000,4692.965,4696.065,4681.845,4683.405,0.4285
1776997800000,4683.365,4690.865,4680.005,4683.205,0.5519
1776998700000,4683.235,4683.895,4672.965,4676.445,0.4892
1776999600000,4676.415,4678.035,4668.305,4670.215,0.4911
1777000500000,4670.445,4677.925,4670.045,4674.305,0.4121
1777001400000,4674.335,4678.065,4672.645,4674.965,0.3317
1777002300000,4674.915,4676.775,4671.095,4671.975,0.2647
1777003200000,4671.665,4674.355,4667.255,4669.715,0.2966
1777004100000,4669.745,4670.505,4658.545,4659.335,0.3887
1777005000000,4659.275,4668.395,4657.485,4667.975,0.3963
1777005900000,4668.075,4676.795,4667.945,4674.205,0.3489
1777006800000,4674.275,4676.635,4669.335,4673.405,0.2985
1777007700000,4673.385,4678.395,4671.745,4676.335,0.3008
1777008600000,4676.315,4687.115,4676.295,4682.445,0.4294
1777009500000,4682.455,4686.745,4680.025,4686.345,0.4194
1777010400000,4686.375,4688.035,4680.928,4681.645,0.4458
1777011300000,4681.645,4681.778,4669.895,4671.375,0.4734
1777012200000,4671.345,4676.005,4669.528,4673.605,0.5392
1777013100000,4673.605,4676.465,4666.515,4671.685,0.5069
1777014000000,4671.605,4681.255,4670.735,4680.405,0.3565
1777014900000,4680.365,4684.685,4678.045,4684.245,0.4123
1777015800000,4684.185,4686.065,4682.155,4685.435,0.3719
1777016700000,4685.415,4694.995,4685.135,4694.285,0.444
1777017600000,4694.245,4694.415,4686.265,4687.275,0.5596
1777018500000,4687.375,4697.315,4686.525,4687.715,0.5907
1777019400000,4687.715,4690.015,4684.925,4687.955,0.4282
1777020300000,4687.905,4692.775,4687.575,4690.615,0.3803
1777021200000,4690.635,4695.235,4689.425,4695.135,0.4497
1777022100000,4695.065,4696.535,4682.015,4683.095,0.5646
1777023000000,4683.105,4688.395,4679.235,4685.785,0.4829
1777023900000,4685.815,4686.675,4679.115,4681.815,0.4043
1777024800000,4681.805,4684.565,4680.695,4682.185,0.3787
1777025700000,4682.125,4686.075,4680.215,4682.085,0.385
1777026600000,4682.085,4682.255,4674.455,4678.855,0.4246
1777027500000,4678.975,4680.535,4676.435,4677.625,0.3354
1777028400000,4677.565,4703.075,4677.565,4696.965,0.9517
1777029300000,4696.965,4716.945,4692.265,4715.205,0.9671
1777030200000,4715.225,4717.195,4704.975,4705.255,0.7624
1777031100000,4705.135,4708.085,4702.725,4706.685,0.5396
1777032000000,4706.705,4710.205,4703.195,4708.495,0.7086
1777032900000,4708.535,4711.625,4701.335,4709.995,0.7195
1777033800000,4709.975,4711.455,4698.495,4698.605,0.7015
1777034700000,4698.635,4700.915,4690.155,4700.555,0.7716
1777035600000,4700.765,4705.485,4695.945,4702.825,0.8418
1777036500000,4702.795,4705.045,4693.385,4696.925,0.7738
1777037400000,4696.845,4709.775,4689.545,4708.105,1.1596
1777038300000,4708.285,4717.185,4704.485,4710.665,1.084
1777039200000,4711.475,4739.995,4706.725,4731.425,1.3987
1777040100000,4731.285,4733.875,4721.315,4725.325,1.1526
1777041000000,4725.435,4732.735,4723.495,4730.235,1.0979
1777041900000,4730.235,4731.035,4723.815,4726.225,0.8727
1777042800000,4726.275,4727.065,4718.755,4721.795,0.8685
1777043700000,4721.605,4726.245,4718.475,4721.785,0.7977
1777044600000,4721.785,4729.335,4714.475,4727.555,0.7932
1777045500000,4727.635,4733.155,4723.805,4726.935,1.1827
1777046400000,4726.935,4729.565,4720.165,4720.455,0.8834
1777047300000,4720.385,4725.715,4718.965,4723.215,0.6056
1777048200000,4723.215,4726.965,4719.065,4722.375,0.7108
1777049100000,4722.355,4727.595,4720.185,4726.655,0.6549
1777050000000,4726.655,4730.065,4725.435,4727.735,0.6721
1777050900000,4727.495,4729.195,4722.055,4722.628,0.6367
1777051800000,4722.628,4725.385,4718.785,4722.395,0.6747
1777052700000,4722.395,4727.695,4720.365,4723.245,0.4996
1777053600000,4723.245,4724.715,4719.735,4723.615,0.5067
1777054500000,4723.565,4724.175,4716.805,4716.875,0.5434
1777055400000,4716.905,4720.345,4716.605,4718.715,0.4282
1777056300000,4718.645,4723.075,4717.588,4722.585,0.4265
1777057200000,4722.625,4725.995,4720.825,4722.245,0.4151
1777058100000,4722.155,4723.165,4717.295,4718.845,0.3956
1777059000000,4718.775,4720.455,4715.835,4716.525,0.4312
1777059900000,4716.495,4718.435,4713.515,4716.265,0.7296
1777060800000,4716.115,4717.245,4705.165,4706.515,0.323
1777061700000,4706.495,4709.138,4705.085,4707.895,0.4606
1777062600000,4707.845,4708.675,4705.098,4707.105,0.3936
1777063500000,4707.105,4710.035,4706.215,4707.865,0.4191
