timestamp,open,high,low,close,volume
1751328000000,1.17862,1.17978,1.17861,1.17973,5062.6802
1751331600000,1.17974,1.18076,1.17793,1.17801,5180.0498
1751335200000,1.17799,1.17895,1.17776,1.17879,3275.3601
1751338800000,1.17878,1.17938,1.17866,1.17892,2740.8401
1751342400000,1.17894,1.17937,1.17826,1.17862,3325.21
1751346000000,1.17862,1.17894,1.17801,1.17865,2117.01
1751349600000,1.17864,1.17865,1.17758,1.17793,4334.6099
1751353200000,1.17793,1.17878,1.17673,1.17858,5221.6201
1751356800000,1.17856,1.18172,1.17743,1.18043,8357.0996
1751360400000,1.18041,1.18298,1.17966,1.18136,8142.5898
1751364000000,1.18137,1.18232,1.18109,1.18112,3960.2
1751367600000,1.18113,1.18192,1.18058,1.18139,3900.6699
1751371200000,1.18137,1.18174,1.18023,1.18036,4750.4302
1751374800000,1.18037,1.18118,1.17931,1.18016,7535.1499
1751378400000,1.18017,1.18028,1.17751,1.17796,12609.1602
1751382000000,1.17794,1.17795,1.17689,1.17758,6764.8301
1751385600000,1.17757,1.17758,1.17611,1.17652,4929.3799
1751389200000,1.17654,1.17836,1.17654,1.17827,5368.3599
1751392800000,1.17826,1.17835,1.17749,1.17807,2182.5601
1751396400000,1.17806,1.17913,1.17792,1.17909,6142.5
1751400000000,1.17908,1.18068,1.17906,1.18059,3444.8201
1751403600000,1.18053,1.18053,1.17993,1.18034,3747.1001
1751407200000,1.18033,1.18064,1.1802,1.18025,1155.9301
1751410800000,1.18026,1.18068,1.17992,1.1805,943.21
1751414400000,1.18048,1.18081,1.17991,1.18076,2184.3101
1751418000000,1.18077,1.18098,1.17918,1.17934,5901.8101
1751421600000,1.17936,1.18015,1.1788,1.18002,5875.8501
1751425200000,1.18001,1.18027,1.17962,1.18002,1880.53
1751428800000,1.18001,1.18011,1.17957,1.17963,874.99
1751432400000,1.17962,1.17981,1.17846,1.17871,2067.72
1751436000000,1.17875,1.17934,1.17734,1.17813,6478.5601
1751439600000,1.17812,1.17834,1.17708,1.17738,4775
1751443200000,1.17737,1.17814,1.17698,1.17755,5094.79
1751446800000,1.17756,1.17775,1.1767,1.17701,3895.01
1751450400000,1.17702,1.17808,1.17645,1.17673,3537.5701
1751454000000,1.17673,1.17711,1.17467,1.17494,4326.5
1751457600000,1.17494,1.17883,1.1747,1.17562,16329.2402
1751461200000,1.17561,1.17774,1.17546,1.17596,8728.0498
1751464800000,1.17596,1.17706,1.17508,1.17674,9408.4404
1751468400000,1.17672,1.17898,1.17658,1.17891,9389.9404
1751472000000,1.17891,1.17938,1.17855,1.17884,5984.9399
1751475600000,1.17885,1.18,1.17884,1.17953,3399.9299
1751479200000,1.17951,1.18,1.17931,1.17994,2284.73
1751482800000,1.17992,1.18031,1.17952,1.18021,2202.25
1751486400000,1.18021,1.18023,1.17954,1.17983,1469.7
1751490000000,1.17981,1.17985,1.17869,1.17938,1587.67
1751493600000,1.17932,1.17999,1.17932,1.17979,1259.83
1751497200000,1.1798,1.1802,1.17969,1.17985,814.71
1751500800000,1.17985,1.18087,1.17977,1.18064,4750.8901
1751504400000,1.18067,1.181,1.18038,1.18042,2380
1751508000000,1.18044,1.18047,1.17945,1.17977,1747.3199
1751511600000,1.17977,1.17991,1.1789,1.17916,1817.53
1751515200000,1.17914,1.17931,1.17876,1.17891,1203.79
1751518800000,1.17891,1.1796,1.17868,1.17959,2895.29
1751522400000,1.1796,1.18027,1.17913,1.18021,5578.0298
1751526000000,1.18021,1.18099,1.17942,1.18012,6569.4199
1751529600000,1.18013,1.18082,1.17953,1.17977,4775.02
1751533200000,1.1798,1.1798,1.17884,1.17921,4815.1499
1751536800000,1.17921,1.18,1.17869,1.1793,3837.8701
1751540400000,1.1793,1.17967,1.1783,1.17847,3420.8501
1751544000000,1.17848,1.17897,1.17169,1.17382,20293.9004
1751547600000,1.17382,1.17794,1.17339,1.17735,13803.5801
1751551200000,1.17737,1.17897,1.1751,1.17532,11511.7998
1751554800000,1.17531,1.17661,1.17491,1.17568,6804.5698
1751558400000,1.1757,1.17579,1.17399,1.17522,3987.3401
1751562000000,1.17519,1.17582,1.17503,1.17539,1312.89
1751565600000,1.17537,1.17562,1.17478,1.17486,1071.4399
1751569200000,1.17486,1.17522,1.17442,1.17476,551.82
1751572800000,1.17475,1.17595,1.17464,1.17564,1322.6801
1751576400000,1.1756,1.17582,1.17524,1.17567,721.36
1751580000000,1.17567,1.17593,1.17535,1.17593,1316.37
1751583600000,1.17593,1.17712,1.17557,1.17688,2100.2
1751587200000,1.1769,1.17705,1.17633,1.17669,4216.7202
1751590800000,1.17671,1.17694,1.17561,1.17594,4440.7402
1751594400000,1.17594,1.17706,1.17594,1.17652,1744.13
1751598000000,1.17652,1.17725,1.17645,1.17701,1538.35
1751601600000,1.177,1.178,1.17693,1.17799,2271.75
1751605200000,1.178,1.17854,1.17797,1.17839,1900.3
1751608800000,1.17839,1.17847,1.17741,1.1781,4669.0498
1751612400000,1.1781,1.17826,1.17675,1.17696,5072.6299
1751616000000,1.17698,1.17774,1.17679,1.17744,3924.5701
1751619600000,1.17742,1.17819,1.1772,1.17782,3602.6101
1751623200000,1.1778,1.17808,1.17748,1.17776,2741.3401
1751626800000,1.17777,1.1782,1.17683,1.17687,2904.3201
1751630400000,1.17689,1.17716,1.17636,1.17666,2819.6299
1751634000000,1.17663,1.17808,1.17663,1.17793,1863.84
1751637600000,1.17794,1.17873,1.17751,1.17784,2738.6299
1751641200000,1.17782,1.17843,1.17758,1.17783,1874.45
1751644800000,1.17783,1.17815,1.17735,1.17742,2172.49
1751648400000,1.17742,1.17776,1.17718,1.17755,8500.21
1751652000000,1.17755,1.17792,1.17739,1.17788,3299.1001
1751655600000,1.17788,1.17797,1.17725,1.17748,6165.8101
1751659200000,1.17747,1.17829,1.17719,1.17719,15666.4199
1751662800000,1.17719,1.17719,1.17719,1.17719,0
1751666400000,1.17719,1.17719,1.17719,1.17719,0
1751670000000,1.17719,1.17719,1.17719,1.17719,0
1751673600000,1.17719,1.17719,1.17719,1.17719,0
1751677200000,1.17719,1.17719,1.17719,1.17719,0
1751680800000,1.17719,1.17719,1.17719,1.17719,0
1751684400000,1.17719,1.17719,1.17719,1.17719,0
1751688000000,1.17719,1.17719,1.17719,1.17719,0
1751691600000,1.17719,1.17719,1.17719,1.17719,0
1751695200000,1.17719,1.17719,1.17719,1.17719,0
1751698800000,1.17719,1.17719,1.17719,1.17719,0
1751702400000,1.17719,1.17719,1.17719,1.17719,0
1751706000000,1.17719,1.17719,1.17719,1.17719,0
1751709600000,1.17719,1.17719,1.17719,1.17719,0
1751713200000,1.17719,1.17719,1.17719,1.17719,0
1751716800000,1.17719,1.17719,1.17719,1.17719,0
1751720400000,1.17719,1.17719,1.17719,1.17719,0
1751724000000,1.17719,1.17719,1.17719,1.17719,0
1751727600000,1.17719,1.17719,1.17719,1.17719,0
1751731200000,1.17719,1.17719,1.17719,1.17719,0
1751734800000,1.17719,1.17719,1.17719,1.17719,0
1751738400000,1.17719,1.17719,1.17719,1.17719,0
1751742000000,1.17719,1.17719,1.17719,1.17719,0
1751745600000,1.17719,1.17719,1.17719,1.17719,0
1751749200000,1.17719,1.17719,1.17719,1.17719,0
1751752800000,1.17719,1.17719,1.17719,1.17719,0
1751756400000,1.17719,1.17719,1.17719,1.17719,0
1751760000000,1.17719,1.17719,1.17719,1.17719,0
1751763600000,1.17719,1.17719,1.17719,1.17719,0
1751767200000,1.17719,1.17719,1.17719,1.17719,0
1751770800000,1.17719,1.17719,1.17719,1.17719,0
1751774400000,1.17719,1.17719,1.17719,1.17719,0
1751778000000,1.17719,1.17719,1.17719,1.17719,0
1751781600000,1.17719,1.17719,1.17719,1.17719,0
1751785200000,1.17719,1.17719,1.17719,1.17719,0
1751788800000,1.17719,1.17719,1.17719,1.17719,0
1751792400000,1.17719,1.17719,1.17719,1.17719,0
1751796000000,1.17719,1.17719,1.17719,1.17719,0
1751799600000,1.17719,1.17719,1.17719,1.17719,0
1751803200000,1.17719,1.17719,1.17719,1.17719,0
1751806800000,1.17719,1.17719,1.17719,1.17719,0
1751810400000,1.17719,1.17719,1.17719,1.17719,0
1751814000000,1.17719,1.17719,1.17719,1.17719,0
1751817600000,1.17719,1.17719,1.17719,1.17719,0
1751821200000,1.17719,1.17719,1.17719,1.17719,0
1751824800000,1.17719,1.17719,1.17719,1.17719,0
1751828400000,1.17719,1.17719,1.17719,1.17719,0
1751832000000,1.17719,1.17719,1.17719,1.17719,0
1751835600000,1.17793,1.17825,1.17775,1.17789,505.89
1751839200000,1.17792,1.17816,1.17732,1.17796,1205.5
1751842800000,1.178,1.17821,1.1775,1.178,932.99
1751846400000,1.17805,1.17901,1.17787,1.17799,2879.0901
1751850000000,1.17797,1.17805,1.17698,1.17718,2665.4299
1751853600000,1.1772,1.17753,1.17644,1.17673,2531.8301
1751857200000,1.17671,1.17741,1.17663,1.17689,2297.5701
1751860800000,1.17689,1.17723,1.17639,1.17659,2185.47
1751864400000,1.1766,1.17737,1.17633,1.17712,2018.79
1751868000000,1.17711,1.17733,1.17499,1.17557,4808.21
1751871600000,1.17559,1.17585,1.17452,1.17456,7316.0098
1751875200000,1.17455,1.17473,1.17232,1.17241,6687.1602
1751878800000,1.1724,1.17345,1.1722,1.17339,3319.9199
1751882400000,1.1734,1.17359,1.1723,1.17275,4354.48
1751886000000,1.17274,1.17341,1.17247,1.17294,3836.3899
1751889600000,1.17293,1.1731,1.17179,1.17223,3404.1101
1751893200000,1.17223,1.17408,1.17219,1.17351,5842.7002
1751896800000,1.17351,1.17453,1.17329,1.17386,4664.8999
1751900400000,1.17387,1.17403,1.17302,1.17327,3672.6699
1751904000000,1.1733,1.17396,1.16873,1.16939,8230.96
1751907600000,1.16942,1.17134,1.16868,1.17067,8827.8701
1751911200000,1.17066,1.17198,1.17,1.17187,10899.46
1751914800000,1.17186,1.17237,1.17162,1.17193,7953.2402
1751918400000,1.17193,1.17212,1.17065,1.17077,4201.9199
1751922000000,1.17075,1.17101,1.17063,1.17088,740.52
1751925600000,1.17088,1.17374,1.17088,1.1735,1829.29
1751929200000,1.17352,1.17386,1.17315,1.17363,1692.3
1751932800000,1.17365,1.17478,1.17364,1.17434,6026.8198
1751936400000,1.17434,1.17445,1.17305,1.17381,3379.3401
1751940000000,1.1738,1.17484,1.17361,1.17381,4152.0298
1751943600000,1.17382,1.17487,1.17367,1.17467,2616.8799
1751947200000,1.17467,1.175,1.17405,1.17413,2859.6499
1751950800000,1.17413,1.17446,1.17335,1.17346,4015.1599
1751954400000,1.17346,1.17446,1.17315,1.17417,4063.8999
1751958000000,1.17419,1.1765,1.17417,1.17599,4509.46
1751961600000,1.17598,1.17605,1.17474,1.17487,4389.1499
